BUILDING_USAGE,FISCAL_YEAR,ENERGY_CATEGORY_DIV,ENERGY_CATEGORY_NAME,ENERGY_SUB_DIV,ENERGY_SUB_NAME,VALUE,CREATION_DATETIME,CREATOR
5,2023,C02,換気,,,"0.8000",,
5,2023,C03,他,,,"1.0000",,
5,2023,C04,安全率,,,"1.0000",,
5,2023,C05,範囲補正係数,,,"1.0000",,
6,2023,A01,熱源,A0101,熱源本体,"0.27200",,
6,2023,A01,熱源,A0102,熱源補機,"0.04800",,
6,2023,A02,熱搬送,A0201,水搬送,"0.02500",,
6,2023,A02,熱搬送,A0202,空気搬送,"0.09500",,
6,2023,A03,給湯,A0301,給湯,"0.18000",,
6,2023,A04,照明・コンセント,A0401,照明,"0.10900",,
6,2023,A04,照明・コンセント,A0402,コンセント,"0.10100",,
6,2023,A05,動力,A0501,換気,"0.07000",,
6,2023,A05,動力,A0502,給排水,"0.01000",,
6,2023,A05,動力,A0503,昇降機,"0.03000",,
6,2023,A06,その他,A0601,その他,"0.06000",,
6,2023,A07,熱負荷低減,A0701,外皮,"0.02900",,
6,2023,A07,熱負荷低減,A0702,外気,"0.13200",,
6,2023,A07,熱負荷低減,A0703,熱負荷,"0.44000",,
6,2023,B01,一次エネ消費原単位,,,"2713.0000",,
6,2023,C01,空調,,,"1.6670",,
6,2023,C02,換気,,,"1.0000",,
6,2023,C03,他,,,"1.0000",,
6,2023,C04,安全率,,,"1.0000",,
6,2023,C05,範囲補正係数,,,"1.0000",,
7,2023,A01,熱源,A0101,熱源本体,"0.35000",,
7,2023,A01,熱源,A0102,熱源補機,"0.06100",,
7,2023,A02,熱搬送,A0201,水搬送,"0.04200",,
7,2023,A02,熱搬送,A0202,空気搬送,"0.16000",,
7,2023,A03,給湯,A0301,給湯,"0.00300",,
7,2023,A04,照明・コンセント,A0401,照明,"0.04500",,
7,2023,A04,照明・コンセント,A0402,コンセント,"0.30600",,
7,2023,A05,動力,A0501,換気,"0.01400",,
7,2023,A05,動力,A0502,給排水,"0.00200",,
7,2023,A05,動力,A0503,昇降機,"0.00600",,
7,2023,A06,その他,A0601,その他,"0.01120",,
7,2023,A07,熱負荷低減,A0701,外皮,"0.00800",,
7,2023,A07,熱負荷低減,A0702,外気,"0.00800",,
7,2023,A07,熱負荷低減,A0703,熱負荷,"0.61300",,
7,2023,B01,一次エネ消費原単位,,,"13902.0000",,
7,2023,C01,空調,,,"1.0000",,
7,2023,C02,換気,,,"1.0000",,
7,2023,C03,他,,,"1.0000",,
7,2023,C04,安全率,,,"1.0000",,
7,2023,C05,範囲補正係数,,,"1.0000",,
8,2023,A01,熱源,A0101,熱源本体,"0.25500",,
8,2023,A01,熱源,A0102,熱源補機,"0.04500",,
8,2023,A02,熱搬送,A0201,水搬送,"0.04200",,
8,2023,A02,熱搬送,A0202,空気搬送,"0.15800",,
8,2023,A03,給湯,A0301,給湯,"0.00500",,
8,2023,A04,照明・コンセント,A0401,照明,"0.14600",,
8,2023,A04,照明・コンセント,A0402,コンセント,"0.13400",,
8,2023,A05,動力,A0501,換気,"0.06400",,
8,2023,A05,動力,A0502,給排水,"0.00500",,
8,2023,A05,動力,A0503,昇降機,"0.02700",,
8,2023,A06,その他,A0601,その他,"0.11900",,
8,2023,A07,熱負荷低減,A0701,外皮,"0.04300",,
8,2023,A07,熱負荷低減,A0702,外気,"0.15000",,
8,2023,A07,熱負荷低減,A0703,熱負荷,"0.50000",,
8,2023,B01,一次エネ消費原単位,,,"2010.0000",,
8,2023,C01,空調,,,"1.4670",,
8,2023,C02,換気,,,"1.0000",,
8,2023,C03,他,,,"1.0000",,
8,2023,C04,安全率,,,"1.0000",,
8,2023,C05,範囲補正係数,,,"1.0000",,
9,2023,A01,熱源,A0101,熱源本体,"0.15200",,
9,2023,A01,熱源,A0102,熱源補機,"0.02600",,
9,2023,A02,熱搬送,A0201,水搬送,"0.01800",,
9,2023,A02,熱搬送,A0202,空気搬送,"0.06900",,
9,2023,A03,給湯,A0301,給湯,"0.00800",,
9,2023,A04,照明・コンセント,A0401,照明,"0.23800",,
9,2023,A04,照明・コンセント,A0402,コンセント,"0.10800",,
9,2023,A05,動力,A0501,換気,"0.14600",,
9,2023,A05,動力,A0502,給排水,"0.00500",,
9,2023,A05,動力,A0503,昇降機,"0.02900",,
9,2023,A06,その他,A0601,その他,"0.20100",,
9,2023,A07,熱負荷低減,A0701,外皮,"0.02900",,
9,2023,A07,熱負荷低減,A0702,外気,"0.08000",,
9,2023,A07,熱負荷低減,A0703,熱負荷,"0.26600",,
9,2023,B01,一次エネ消費原単位,,,"1296.0000",,
9,2023,C01,空調,,,"1.0000",,
9,2023,C02,換気,,,"1.0000",,
9,2023,C03,他,,,"1.0000",,
9,2023,C04,安全率,,,"1.0000",,
9,2023,C05,範囲補正係数,,,"1.0000",,
10,2023,A01,熱源,A0101,熱源本体,"0.35400",,
10,2023,A01,熱源,A0102,熱源補機,"0.06200",,
10,2023,A02,熱搬送,A0201,水搬送,"0.04300",,
10,2023,A02,熱搬送,A0202,空気搬送,"0.16200",,
10,2023,A03,給湯,A0301,給湯,"0.00300",,
10,2023,A04,照明・コンセント,A0401,照明,"0.04500",,
10,2023,A04,照明・コンセント,A0402,コンセント,"0.15500",,
10,2023,A05,動力,A0501,換気,"0.01400",,
10,2023,A05,動力,A0502,給排水,"0.00200",,
10,2023,A05,動力,A0503,昇降機,"0.00600",,
10,2023,A06,その他,A0601,その他,"0.15400",,
10,2023,A07,熱負荷低減,A0701,外皮,"0.00800",,
10,2023,A07,熱負荷低減,A0702,外気,"0.31000",,
10,2023,A07,熱負荷低減,A0703,熱負荷,"0.62100",,
10,2023,B01,一次エネ消費原単位,,,"0.0000",,
